user_address,amount,percent,LV aidrop,LV total supply,LV bag P0.05%,LV bag total,,,,,,,,,,,,,
0xf2c67395be5da848da0184928d5ceb887acf9165,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xc07f09952aa27265be754552add9d479cc0c0836,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xb119d4488499c63cdc347b8f033ecfb4ac81df6b,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xbfb601965a68606617d7b4b5991f92b602c55eae,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3db7b9a9e66dc7aec7895432e978fdd1d88b00f1,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xba4f0c12129c1fb4e6f8f2ab961d050311b0c4e9,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x784e24ab1e9d2808f061ae5a434b33c037d250a1,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xfcacfa56bbf281685f6e3cea4b749c6da930fe35,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xe91656367a14cba5d330201e4e036ccc12f0f7e2,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x8601abd04c9dda5a5b04e7c5a346afc4b0f99d09,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3ef2450c47bf537f52209c65de7305f6973774d0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa0fa4f6359f3b3a91c7737d26333de5235c130a6,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x1cce573317da2ce52bcf8c4d40938ba1112ffd22,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x48cf4b131d38daed176623f6ecdfcaf0e2f1a47f,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xa8eb81e8e2085f8c628962df296206fd9901fc87,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x0b44b076c3f127f243ff79a78bf530b4b17b261e,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xf3039e9122dcd277d89389040af3490f639cd8f3,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x30c28d5abc738afba0fc567712827ff6dd18a825,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x194c2a99686ef68938bdcec0563fd001ce710a7a,100,0.167%,836.33,,,,,,,,,,,,,,,,
0xc8bfd60565d451cf476de26533b605a9a60863f0,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x3a28639015ea51dd7205a1677f0278767f1ecc02,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x234e3d25eb159d4c52bcfc357b8bfaeb73a3d186,100,0.167%,836.33,,,,,,,,,,,,,,,,
0x63f2f4c21804d61d68d5b80933cced532137a0b2,100,0.167%,836.33,,,,,,,,,,,,,,,,
